x,y,values
    7.5448,   43.8730,    0.0000
    8.1693,   44.0062,    0.0000
    8.5260,   44.4067,    0.0000
    7.9965,   44.1228,    0.0000
    9.4814,   44.2951,    0.0000
    7.6998,   43.9815,    0.0000
    8.0007,   43.9333,    0.0000
    7.9531,   43.9771,    0.0000
    8.5732,   44.3723,    0.0000
    9.4101,   44.4243,    0.0000
    8.3020,   44.1957,    0.0000
    9.1593,   44.3470,    0.0000
    8.6939,   44.5426,    0.0000
    8.1634,   44.1444,    0.0000
    9.5977,   44.2752,    0.0000
    9.7658,   44.3054,    0.0000
    8.1189,   44.1320,    0.0000
    8.3829,   44.3330,    0.0000
    9.3219,   44.4211,   10.0000
    9.8400,   44.2499,    0.0000
    9.5841,   44.3524,    0.0000
    7.7739,   43.8797,    0.0000
    8.9459,   44.4004,    0.0000
    9.3298,   44.3188,    0.0000
    7.5432,   43.8310,    0.0000
    8.2025,   44.2323,    0.0000
    7.8733,   44.0832,    0.0000
    7.8667,   43.9813,    0.0000
    8.1036,   43.9792,    0.0000
    7.9286,   43.8526,    0.0000
    9.0071,   44.4751,    0.0000
    8.9859,   44.5201,    0.0000
    9.0954,   44.4678,    0.0000
    7.9515,   43.9059,    0.0000
    8.4667,   44.3664,    0.0000
    9.0932,   44.4029,    0.0000
    8.7049,   44.4649,    0.0000
    9.5403,   44.2136,    0.0000
    8.8956,   44.4553,   10.0000
    8.8841,   44.4114,    0.0000
    8.9796,   44.4597,    0.0000
    8.9611,   44.4344,    0.0000
    8.8246,   44.4323,    0.0000
    8.9001,   44.4885,   10.0000
    8.9726,   44.4237,    0.0000
    9.3877,   44.4611,   10.0000
    7.6081,   43.9396,    0.0000
    8.4831,   44.3062,    0.0000
    8.1796,   44.0688,    0.0000
    8.8582,   44.5301,    0.0000
    9.0472,   44.4408,    0.0000
    8.4801,   44.3354,    0.0000
    8.6477,   44.4035,    0.0000
    9.6068,   44.1714,    0.0000
    9.7903,   44.1325,    0.0000
    9.3953,   44.4627,   10.0000
    9.2842,   44.5542,    0.0000
    8.7430,   44.4334,    0.0000
    8.3788,   44.1932,    0.0000
   10.0141,   44.0502,    0.0000
    9.6147,   44.2450,    0.0000
    8.7331,   44.4742,    0.0000
    8.8448,   44.4425,    0.0000
    8.9382,   44.5403,    0.0000
    7.6189,   43.7933,    0.0000
    8.2108,   44.0488,    0.0000
    8.3714,   44.2843,    0.0000
    8.7987,   44.4802,    0.0000
    9.9384,   44.0713,    0.0000
    9.6402,   44.1483,    0.0000
    8.9542,   44.5486,    0.0000
    9.1699,   44.4437,    0.0000
    8.0413,   44.0572,    0.0000
    9.2849,   44.4242,   10.0000
    9.3562,   44.3421,    0.0000
    9.7710,   44.1951,    0.0000
    7.7934,   44.0420,    0.0000
    9.7150,   44.1899,    0.0000
    8.6731,   44.5177,    0.0000
    9.0091,   44.4168,    0.0000
    9.4588,   44.4729,    0.0000
    9.2710,   44.3937,   10.0000
    7.9147,   44.0495,    0.0000
    8.7360,   44.4861,    0.0000
    9.8359,   44.0520,    0.0000
    7.6945,   43.9186,    0.0000
    9.2093,   44.3545,   10.0000
    9.4577,   44.3749,    0.0000
    9.7637,   44.1532,    0.0000
    8.9343,   44.4280,    0.0000
    7.6018,   43.8886,    0.0000
    9.1074,   44.4385,    0.0000
    8.5273,   44.3619,    0.0000
    8.4375,   44.3456,    0.0000
    8.6246,   44.4064,    0.0000
    9.5338,   44.4068,    0.0000
    7.6985,   43.8276,    0.0000
    9.1821,   44.4876,    0.0000
    9.6775,   44.2985,    0.0000
    9.6596,   44.2747,    0.0000
    9.8282,   44.1070,    0.0000
    9.9655,   44.1123,    0.0000
    8.4825,   44.4158,    0.0000
    9.4808,   44.3505,    0.0000
    9.7370,   44.2643,    0.0000
    9.5486,   44.3127,    0.0000
    8.0352,   44.0065,    0.0000
    7.7624,   43.9945,    0.0000
    8.6274,   44.4695,    0.0000
    9.5842,   44.3831,    0.0000
    8.1911,   44.3696,    0.0000
    7.7211,   44.0442,    0.0000
    8.2200,   44.1640,    0.0000
    8.9785,   44.4856,    0.0000
    9.0635,   44.4285,    0.0000
    8.9474,   44.5204,    0.0000
    7.6121,   43.7878,    0.0000
